taxa,high,low,subtidal,rockpools,bare_rock,biogeography,high-low,high-open,low-open,all,true_category
Actinia equina,FALSE,FALSE,FALSE,FALSE,TRUE,boreal,,,,TRUE,all_heights
Actinia fragacea,FALSE,TRUE,FALSE,FALSE,TRUE,lusitanian,,,,,low
Alaria esculenta,FALSE,TRUE,TRUE,FALSE,FALSE,boreal,,,TRUE,,low-open
Anemonia viridis,FALSE,TRUE,TRUE,TRUE,FALSE,lusitanian,,,TRUE,,low-open
Ascophyllum nodosum,TRUE,TRUE,FALSE,FALSE,TRUE,boreal,TRUE,,,,high-low
Asparagopsis armata,FALSE,TRUE,FALSE,TRUE,FALSE,invasive,,,,,low
Asterias rubens,FALSE,TRUE,TRUE,FALSE,TRUE,boreal,TRUE,,,,high-low
Asterocarpa humilis,FALSE,TRUE,TRUE,TRUE,TRUE,invasive,TRUE,,,,high-low
Aulactinia verrucosa,FALSE,TRUE,FALSE,TRUE,FALSE,lusitanian,,,,,low
Austrominius modestus,TRUE,TRUE,FALSE,FALSE,TRUE,invasive,TRUE,,,,high-low
Balanus crenatus,FALSE,TRUE,TRUE,FALSE,TRUE,boreal,,,TRUE,,low-open
Bifurcaria bifurcata,FALSE,TRUE,FALSE,TRUE,TRUE,lusitanian,,,,,low
Botrylloides diegensis,FALSE,TRUE,TRUE,FALSE,TRUE,invasive,,,TRUE,,low-open
Botrylloides violaceus,FALSE,TRUE,TRUE,FALSE,TRUE,invasive,,,TRUE,,low-open
Calliblepharis jubata,FALSE,TRUE,TRUE,TRUE,TRUE,lusitanian,,,TRUE,,low-open
Calliostoma zizyphinum,FALSE,TRUE,TRUE,FALSE,TRUE,lusitanian,,,TRUE,,low-open
Caulacanthus ustulatus,FALSE,TRUE,FALSE,FALSE,TRUE,invasive,,,,,low
Chondracanthus acicularis,FALSE,TRUE,FALSE,FALSE,TRUE,lusitanian,,,,,low
Chondrus crispus,FALSE,TRUE,FALSE,TRUE,TRUE,boreal,,,,,low
Chthamalus montagui,TRUE,TRUE,FALSE,FALSE,TRUE,lusitanian,TRUE,,,,high-low
Clibanarius erythropus,TRUE,TRUE,FALSE,TRUE,TRUE,lusitanian,TRUE,,,,high-low
Codium sp.,FALSE,TRUE,FALSE,TRUE,TRUE,lusitanian,,,,,low
Colpomenia peregrina,FALSE,TRUE,FALSE,TRUE,TRUE,invasive,,,,,low
Corella eumyota,FALSE,TRUE,FALSE,FALSE,TRUE,invasive,,,,,low
Crepidula fornicata,FALSE,TRUE,TRUE,TRUE,TRUE,invasive,,,TRUE,,low-open
Dasysiphonia japonica,FALSE,TRUE,FALSE,FALSE,TRUE,invasive,,,,,low
Dendrodoa grossularia,FALSE,TRUE,FALSE,FALSE,TRUE,boreal,,,,,low
Diadumene lineata,FALSE,TRUE,FALSE,TRUE,TRUE,lusitanian,,,,,low
Dictyopteris polypodioides,FALSE,TRUE,FALSE,TRUE,TRUE,lusitanian,,,,,low
Didemnum vexillum,FALSE,TRUE,TRUE,FALSE,TRUE,invasive,,,TRUE,,low-open
Ericaria selaginoides,FALSE,TRUE,FALSE,TRUE,FALSE,lusitanian,,,,,low
Fucus distichus,TRUE,FALSE,FALSE,FALSE,TRUE,boreal,,,,,high
Fucus serratus,FALSE,TRUE,FALSE,TRUE,TRUE,boreal,,,,,low
Fucus spiralis,TRUE,FALSE,FALSE,FALSE,TRUE,boreal,,,,,high
Fucus vesiculosus,TRUE,TRUE,FALSE,FALSE,TRUE,boreal,TRUE,,,,high-low
Grateloupia turuturu,FALSE,TRUE,FALSE,TRUE,FALSE,invasive,,,,,low
Halichondria panacea,FALSE,TRUE,FALSE,FALSE,TRUE,boreal,,,,,low
Halidrys siliquosa,FALSE,TRUE,FALSE,TRUE,FALSE,boreal,,,,,low
Haliotis tuberculata,FALSE,TRUE,FALSE,FALSE,TRUE,lusitanian,,,,,low
Hemigraphsus takanoi,TRUE,TRUE,FALSE,FALSE,TRUE,invasive,TRUE,,,,high-low
Hemigraspus sanguineus,TRUE,TRUE,FALSE,FALSE,TRUE,invasive,TRUE,,,,high-low
Himanthalia elongata,FALSE,TRUE,FALSE,TRUE,TRUE,boreal,,,,,low
Hymeniacidon perlevis,FALSE,TRUE,FALSE,FALSE,TRUE,lusitanian,,,,,low
Laminaria digitata,FALSE,TRUE,TRUE,TRUE,TRUE,boreal,,,TRUE,,low-open
Laminaria hyperborea,FALSE,TRUE,TRUE,TRUE,TRUE,boreal,,,TRUE,,low-open
Laminaria ochroleuca,FALSE,TRUE,TRUE,TRUE,TRUE,lusitanian,,,TRUE,,low-open
Leptasterias muelleri,FALSE,TRUE,TRUE,TRUE,TRUE,boreal,,,TRUE,,low-open
Lichina pygmaea,TRUE,FALSE,FALSE,FALSE,TRUE,lusitanian,,,,,high
Littorina littorea,TRUE,FALSE,FALSE,FALSE,TRUE,boreal,,,,,high
Littorina saxatilis,TRUE,FALSE,FALSE,FALSE,TRUE,boreal,,,,,high
Magallana gigas,TRUE,TRUE,FALSE,FALSE,TRUE,invasive,TRUE,,,,high-low
Mastocarpus stellatus,FALSE,TRUE,FALSE,FALSE,TRUE,cosmopolitan,,,,,low
Melarhaphe neritoides,TRUE,FALSE,FALSE,FALSE,TRUE,lusitanian,,,,,high
Mytilus sp.,TRUE,TRUE,FALSE,FALSE,TRUE,cosmopolitan,TRUE,,,,high-low
Nucella lapillus,FALSE,TRUE,FALSE,FALSE,TRUE,boreal,,,,,low
Ocenebra erinaceus,FALSE,TRUE,FALSE,FALSE,TRUE,lusitanian,,,,,low
Ocinebrellus inornatus,FALSE,TRUE,FALSE,FALSE,TRUE,invasive,,,,,low
Onchidella celtica,TRUE,TRUE,FALSE,FALSE,TRUE,lusitanian,TRUE,,,,high-low
Padina pavonica,FALSE,TRUE,FALSE,TRUE,FALSE,lusitanian,,,,,low
Palmaria palmata,FALSE,TRUE,TRUE,TRUE,TRUE,boreal,,,TRUE,,low-open
Paracentrotus lividus,FALSE,TRUE,TRUE,TRUE,TRUE,lusitanian,,,TRUE,,low-open
Patella depressa,FALSE,TRUE,FALSE,TRUE,TRUE,lusitanian,,,,,low
Patella pellucida,FALSE,TRUE,TRUE,TRUE,TRUE,boreal,,,TRUE,,low-open
Patella ulyssiponensis,FALSE,TRUE,FALSE,TRUE,TRUE,cosmopolitan,,,,,low
Patella vulgata,TRUE,TRUE,FALSE,TRUE,TRUE,boreal,TRUE,,,,high-low
Pelvetia canaliculata,TRUE,FALSE,FALSE,FALSE,TRUE,boreal,,,,,high
Perforatus perforatus,FALSE,TRUE,FALSE,FALSE,TRUE,lusitanian,,,,,low
Perophora japonica,FALSE,TRUE,TRUE,TRUE,FALSE,invasive,,,TRUE,,low-open
Phorcus lineatus,TRUE,FALSE,FALSE,FALSE,TRUE,lusitanian,,,,,high
Pikea californica,FALSE,TRUE,FALSE,FALSE,TRUE,invasive,,,,,low
Pollicipes pollicipes,TRUE,TRUE,FALSE,FALSE,TRUE,lusitanian,TRUE,,,,high-low
Sabellaria alveolata,FALSE,TRUE,FALSE,FALSE,TRUE,lusitanian,,,,,low
Saccharina latissima,FALSE,TRUE,TRUE,TRUE,TRUE,boreal,,,TRUE,,low-open
Saccorhiza polyschides,FALSE,TRUE,TRUE,TRUE,TRUE,lusitanian,,,TRUE,,low-open
Sargassum muticum,FALSE,TRUE,FALSE,TRUE,TRUE,invasive,,,,,low
Semibalanus balanoides,TRUE,TRUE,FALSE,FALSE,TRUE,boreal,TRUE,,,,high-low
Steromphala cineraria,FALSE,TRUE,FALSE,FALSE,TRUE,boreal,,,,,low
Steromphala umbilicalis,FALSE,TRUE,FALSE,TRUE,TRUE,lusitanian,,,,,low
Strongylocentrotus droebachiensis,FALSE,TRUE,FALSE,FALSE,TRUE,boreal,,,,,low
Testudinalia testudinalis,FALSE,TRUE,FALSE,FALSE,TRUE,boreal,,,,,low
Treptacantha baccata,FALSE,TRUE,FALSE,TRUE,TRUE,lusitanian,,,,,low
Undaria pinnatifida,FALSE,TRUE,TRUE,TRUE,FALSE,invasive,,,TRUE,,low-open
Urosalpinx cinerea,FALSE,TRUE,FALSE,FALSE,TRUE,invasive,,,,,low
Watersipora subatra,FALSE,TRUE,FALSE,FALSE,TRUE,invasive,,,,,low
