"","fieldID","projectID","eventID","type","verbatimLocality","localityID","shorePosition","fullID","year","month","day","eventTime","dna_concentration_CO1","dna_concentration_18S","negCheckLogical","pairedRepLogical","country","controlCheck","sampleType","primer","date_amplified_CO1","date_amplified_18S","batch_extraction","batch_PCR_CO1","plate_col_CO1","plate_row_CO1","batch_PCR_18S","plate_col_18S","plate_row_18S","date_extraction","exposure","weather","tide","lowWater","decimalLongitude","decimalLatitude","eventTime.1","rockpoolarea.cm.2.","averageDepth..cm.","rockpoolVol.m.3.","averagePH","averageTemp"
"PHD1-SCH01-01_18S","PHD1-SCH01-01","PHD1","PHD1-2022.06.12-SCH01-01","Rockpool","Scourie","SCH01","High","PHD1-SCH01-01_18S",2022,6,12,"09:31",82.543,55.415,FALSE,FALSE,"Scotland","sample","sample","18S","28.03.2023","27.03.2023",1,2,1,"A",4,1,"A","24.02.2023","Exposed","moderate rain, strong winds, very cloudy","outgoing","12:23",-5.1668,58.3534,"09:31",7443.49,25,0.1861,8.59,13
"PHD1-SCH01-02_18S","PHD1-SCH01-02","PHD1","PHD1-2022.06.12-SCH01-02","Rockpool","Scourie","SCH01","High","PHD1-SCH01-02_18S",2022,6,12,"09:39",70.27,37.019,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,1,"B",4,1,"B","24.02.2023","Exposed","moderate rain, strong winds, very cloudy","outgoing","12:23",-5.1668,58.3534,"09:39",23217.73,19.1,0.4435,8.78,13.65
"PHD1-SCH01-03_18S","PHD1-SCH01-03","PHD1","PHD1-2022.06.12-SCH01-03","Rockpool","Scourie","SCH01","High","PHD1-SCH01-03_18S",2022,6,12,"09:46",69.033,34.503,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,1,"C",4,1,"C","24.02.2023","Exposed","moderate rain, strong winds, very cloudy","outgoing","12:23",-5.1668,58.3534,"09:46",10075.28,13.9,0.14,8.47,12.45
"PHD1-SCH01-04_18S","PHD1-SCH01-04","PHD1","PHD1-2022.06.12-SCH01-04","Rockpool","Scourie","SCH01","Low","PHD1-SCH01-04_18S",2022,6,12,"11:33",85.846,41.487,FALSE,TRUE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,1,"D",4,1,"D","24.02.2023","Exposed","moderate rain, strong winds, very cloudy","outgoing","12:23",-5.1668,58.3534,"11:33",86234.94,1100,94.8584,8.63,12.4
"PHD1-SCH01-04rep_18S","PHD1-SCH01-04rep","PHD1","PHD1-2022.06.12-SCH01-04rep","Rockpool","Scourie","SCH01","Low","PHD1-SCH01-04rep_18S",2022,6,12,"11:33",32.96,42.561,FALSE,TRUE,"Scotland","sample","plate-replicate","18S","29.03.2023","29.03.2023",1,1,8,"H",3,8,"E","24.02.2023","Exposed","moderate rain, strong winds, very cloudy","outgoing","12:23",-5.1668,58.3534,"11:33",86234.94,1100,94.8584,8.63,12.4
"PHD1-SCH01-05_18S","PHD1-SCH01-05","PHD1","PHD1-2022.06.12-SCH01-05","Rockpool","Scourie","SCH01","Low","PHD1-SCH01-05_18S",2022,6,12,"11:43",100.615,43.671,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,1,"E",4,1,"E","24.02.2023","Exposed","moderate rain, strong winds, very cloudy","outgoing","12:23",-5.1668,58.3534,"11:43",3552.14,24.7,0.0877,9.54,11.65
"PHD1-SCH01-06_18S","PHD1-SCH01-06","PHD1","PHD1-2022.06.12-SCH01-06","Rockpool","Scourie","SCH01","Low","PHD1-SCH01-06_18S",2022,6,12,"11:51",97.537,54.95,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,1,"F",4,1,"F","24.02.2023","Exposed","moderate rain, strong winds, very cloudy","outgoing","12:23",-5.1668,58.3534,"11:51",6194.64,25.6,0.1586,8.84,12.65
"PHD1-SCH01-07_18S","PHD1-SCH01-07","PHD1","PHD1-2022.06.12-SCH01-07","Open","Scourie","SCH01","Open Water","PHD1-SCH01-07_18S",2022,6,12,"13:12",71.019,44.707,FALSE,FALSE,"Scotland","sample","sample","18S","28.03.2023","27.03.2023",1,2,1,"G",4,1,"G","24.02.2023","Exposed","moderate rain, strong winds, very cloudy","outgoing","12:23",-5.1668,58.3534,"13:12",NA,NA,NA,9.23,14.2
"PHD1-SCH01-08_18S","PHD1-SCH01-08","PHD1","PHD1-2022.06.12-SCH01-08","Open","Scourie","SCH01","Open Water","PHD1-SCH01-08_18S",2022,6,12,"13:12",89.642,44.822,FALSE,FALSE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",1,2,1,"H",4,1,"H","24.02.2023","Exposed","moderate rain, strong winds, very cloudy","outgoing","12:23",-5.1668,58.3534,"13:12",NA,NA,NA,9.15,14.3
"PHD1-SCH01-09_18S","PHD1-SCH01-09","PHD1","PHD1-2022.06.12-SCH01-09","Open","Scourie","SCH01","Open Water","PHD1-SCH01-09_18S",2022,6,12,"13:14",53.137,32.275,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,2,"A",4,2,"A","24.02.2023","Exposed","moderate rain, strong winds, very cloudy","outgoing","12:23",-5.1668,58.3534,"13:14",NA,NA,NA,9.2,14.2
"PHD1-SCH02-01_18S","PHD1-SCH02-01","PHD1","PHD1-2022.06.13-SCH02-01","Open","Rispond","SCH02","Open Water","PHD1-SCH02-01_18S",2022,6,13,"12:02",43.414,33.421,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,2,"C",4,2,"C","24.02.2023","Sheltered","light rain, cloudy","outgoing","13:18",-4.6583,58.5483,"12:02",NA,NA,NA,8.79,13.6
"PHD1-SCH02-02_18S","PHD1-SCH02-02","PHD1","PHD1-2022.06.13-SCH02-02","Open","Rispond","SCH02","Open Water","PHD1-SCH02-02_18S",2022,6,13,"12:07",49.358,49.175,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,2,"D",4,2,"D","24.02.2023","Sheltered","light rain, cloudy","outgoing","13:18",-4.6583,58.5483,"12:07",NA,NA,NA,8.89,13.05
"PHD1-SCH02-03_18S","PHD1-SCH02-03","PHD1","PHD1-2022.06.13-SCH02-03","Open","Rispond","SCH02","Open Water","PHD1-SCH02-03_18S",2022,6,13,"12:14",5.518,50.798,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,2,"E",4,2,"E","24.02.2023","Sheltered","light rain, cloudy","outgoing","13:18",-4.6583,58.5483,"12:14",NA,NA,NA,8.68,13.5
"PHD1-SCH02-04_18S","PHD1-SCH02-04","PHD1","PHD1-2022.06.13-SCH02-04","Rockpool","Rispond","SCH02","High","PHD1-SCH02-04_18S",2022,6,13,"13:16",76.824,60.887,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,2,"F",4,2,"F","24.02.2023","Sheltered","light rain, cloudy","outgoing","13:18",-4.6583,58.5483,"13:16",NA,10,NA,8.59,15.1
"PHD1-SCH02-05_18S","PHD1-SCH02-05","PHD1","PHD1-2022.06.13-SCH02-05","Rockpool","Rispond","SCH02","High","PHD1-SCH02-05_18S",2022,6,13,"13:21",4.577,59.37,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",1,2,2,"G",4,2,"G","24.02.2023","Sheltered","light rain, cloudy","outgoing","13:18",-4.6583,58.5483,"13:21",NA,16,NA,8.85,15.55
"PHD1-SCH02-06_18S","PHD1-SCH02-06","PHD1","PHD1-2022.06.13-SCH02-06","Rockpool","Rispond","SCH02","High","PHD1-SCH02-06_18S",2022,6,13,"13:23",79.148,63.615,FALSE,FALSE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",1,2,2,"H",4,2,"H","24.02.2023","Sheltered","light rain, cloudy","outgoing","13:18",-4.6583,58.5483,"13:23",NA,10,NA,9.21,14.9
"PHD1-SCH03-01_18S","PHD1-SCH03-01","PHD1","PHD1-2022.06.14-SCH03-01","Rockpool","Skerray","SCH03","Low","PHD1-SCH03-01_18S",2022,6,14,"14:23",72.104,42.408,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,3,"C",4,3,"C","28.02.2023","Exposed","dry, cloudy","outgoing","15:00",-4.3022,58.5433,"14:23",22367.49,43,0.9618,8.84,14.4
"PHD1-SCH03-02_18S","PHD1-SCH03-02","PHD1","PHD1-2022.06.14-SCH03-02","Rockpool","Skerray","SCH03","Low","PHD1-SCH03-02_18S",2022,6,14,"14:30",67.893,51.838,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,3,"D",4,3,"D","28.02.2023","Exposed","dry, cloudy","outgoing","15:00",-4.3022,58.5433,"14:30",10187.55,10.3,0.1049,8.88,14.53
"PHD1-SCH03-03_18S","PHD1-SCH03-03","PHD1","PHD1-2022.06.14-SCH03-03","Rockpool","Skerray","SCH03","Low","PHD1-SCH03-03_18S",2022,6,14,"14:38",55.904,50.798,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,3,"E",4,3,"E","28.02.2023","Exposed","dry, cloudy","outgoing","15:00",-4.3022,58.5433,"14:38",82140.53,31.5,2.5874,8.62,14.2
"PHD1-SCH03-04_18S","PHD1-SCH03-04","PHD1","PHD1-2022.06.14-SCH03-04","Rockpool","Skerray","SCH03","High","PHD1-SCH03-04_18S",2022,6,14,"14:52",74.099,22.672,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,3,"F",4,3,"F","28.02.2023","Exposed","dry, cloudy","outgoing","15:00",-4.3022,58.5433,"14:52",34926.5,35,1.2224,8.68,14.85
"PHD1-SCH03-05_18S","PHD1-SCH03-05","PHD1","PHD1-2022.06.14-SCH03-05","Rockpool","Skerray","SCH03","High","PHD1-SCH03-05_18S",2022,6,14,"15:01",62.915,49.751,FALSE,TRUE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,3,"G",4,3,"G","28.02.2023","Exposed","dry, cloudy","outgoing","15:00",-4.3022,58.5433,"15:01",9387.79,12.5,0.1173,8.93,14.65
"PHD1-SCH03-05rep_18S","PHD1-SCH03-05rep","PHD2","PHD1-2022.06.14-SCH03-05rep","Rockpool","Skerray","SCH03","High","PHD1-SCH03-05rep_18S",2022,6,14,"15:01",8.764,63.324,FALSE,TRUE,"Scotland","sample","plate-replicate","18S","15.11.2023","03.11.2023",2,1,9,"A",3,8,"F","28.02.2023","Exposed","dry, cloudy","outgoing","15:00",-4.3022,58.5433,"15:01",9387.79,12.5,0.1173,8.93,14.65
"PHD1-SCH03-06_18S","PHD1-SCH03-06","PHD1","PHD1-2022.06.14-SCH03-06","Rockpool","Skerray","SCH03","High","PHD1-SCH03-06_18S",2022,6,14,"15:08",76.476,46.82,FALSE,FALSE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",2,2,3,"H",4,3,"H","28.02.2023","Exposed","dry, cloudy","outgoing","15:00",-4.3022,58.5433,"15:08",12195.99,19,0.2317,8.47,14.6
"PHD1-SCH03-07_18S","PHD1-SCH03-07","PHD1","PHD1-2022.06.14-SCH03-07","Open","Skerray","SCH03","Open Water","PHD1-SCH03-07_18S",2022,6,14,"17:21",56.186,54.297,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,4,"A",4,4,"A","28.02.2023","Exposed","dry, cloudy","outgoing","15:00",-4.3022,58.5433,"17:21",NA,NA,NA,8.51,15.6
"PHD1-SCH03-08_18S","PHD1-SCH03-08","PHD1","PHD1-2022.06.14-SCH03-08","Open","Skerray","SCH03","Open Water","PHD1-SCH03-08_18S",2022,6,14,"17:22",34.706,45.72,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,4,"B",4,4,"B","28.02.2023","Exposed","dry, cloudy","outgoing","15:00",-4.3022,58.5433,"17:22",NA,NA,NA,8.73,14.6
"PHD1-SCH03-09_18S","PHD1-SCH03-09","PHD1","PHD1-2022.06.14-SCH03-09","Open","Skerray","SCH03","Open Water","PHD1-SCH03-09_18S",2022,6,14,"17:23",53.19,55.501,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,4,"C",4,4,"C","28.02.2023","Exposed","dry, cloudy","outgoing","15:00",-4.3022,58.5433,"17:23",NA,NA,NA,8.75,14.3
"PHD1-SCH04-01_18S","PHD1-SCH04-01","PHD1","PHD1-2022.06.15-SCH04-01","Open","Murkle Bay","SCH04","Open Water","PHD1-SCH04-01_18S",2022,6,15,"12:16",56.061,46.077,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,4,"E",4,4,"E","28.02.2023","Exposed","dry, cloudy with intermittent sun","outgoing","16:00",-3.4328,58.6078,"12:16",NA,NA,NA,8.46,15
"PHD1-SCH04-02_18S","PHD1-SCH04-02","PHD1","PHD1-2022.06.15-SCH04-02","Open","Murkle Bay","SCH04","Open Water","PHD1-SCH04-02_18S",2022,6,15,"12:17",68.585,41.358,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,4,"F",4,4,"F","28.02.2023","Exposed","dry, cloudy with intermittent sun","outgoing","16:00",-3.4328,58.6078,"12:17",NA,NA,NA,8.43,14.2
"PHD1-SCH04-03_18S","PHD1-SCH04-03","PHD1","PHD1-2022.06.15-SCH04-03","Open","Murkle Bay","SCH04","Open Water","PHD1-SCH04-03_18S",2022,6,15,"12:18",5.282,45.198,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,4,"G",4,4,"G","28.02.2023","Exposed","dry, cloudy with intermittent sun","outgoing","16:00",-3.4328,58.6078,"12:18",NA,NA,NA,8.45,14
"PHD1-SCH04-04_18S","PHD1-SCH04-04","PHD1","PHD1-2022.06.15-SCH04-04","Rockpool","Murkle Bay","SCH04","Low","PHD1-SCH04-04_18S",2022,6,15,"13:24",42.888,50.77,FALSE,FALSE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",2,2,4,"H",4,4,"H","28.02.2023","Exposed","dry, cloudy with intermittent sun","outgoing","16:00",-3.4328,58.6078,"13:24",2646.74,20.6,0.5452,8.53,13.1
"PHD1-SCH04-05_18S","PHD1-SCH04-05","PHD1","PHD1-2022.06.15-SCH04-05","Rockpool","Murkle Bay","SCH04","Low","PHD1-SCH04-05_18S",2022,6,15,"13:39",78.451,63.127,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,5,"A",4,5,"A","28.02.2023","Exposed","dry, cloudy with intermittent sun","outgoing","16:00",-3.4328,58.6078,"13:39",14555.37,8.3,1.2081,8.66,14.55
"PHD1-SCH04-06_18S","PHD1-SCH04-06","PHD1","PHD1-2022.06.15-SCH04-06","Rockpool","Murkle Bay","SCH04","Low","PHD1-SCH04-06_18S",2022,6,15,"13:47",78.372,33.633,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,5,"B",4,5,"B","28.02.2023","Exposed","dry, cloudy with intermittent sun","outgoing","16:00",-3.4328,58.6078,"13:47",21016.88,22.3,4.6868,8.68,12.6
"PHD1-SCH04-07_18S","PHD1-SCH04-07","PHD1","PHD1-2022.06.15-SCH04-07","Rockpool","Murkle Bay","SCH04","High","PHD1-SCH04-07_18S",2022,6,15,"14:02",30.927,41.788,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,5,"C",4,5,"C","28.02.2023","Exposed","dry, cloudy with intermittent sun","outgoing","16:00",-3.4328,58.6078,"14:02",15226.82,10,1.5227,8.87,17
"PHD1-SCH04-08_18S","PHD1-SCH04-08","PHD1","PHD1-2022.06.15-SCH04-08","Rockpool","Murkle Bay","SCH04","High","PHD1-SCH04-08_18S",2022,6,15,"14:07",35.568,60.339,FALSE,FALSE,"Scotland","sample","sample","18S","17.03.2023","27.03.2023",2,2,5,"D",4,5,"D","28.02.2023","Exposed","dry, cloudy with intermittent sun","outgoing","16:00",-3.4328,58.6078,"14:07",6114.54,9.7,0.5931,9.04,17.25
"PHD1-SCH04-09_18S","PHD1-SCH04-09","PHD1","PHD1-2022.06.15-SCH04-09","Rockpool","Murkle Bay","SCH04","High","PHD1-SCH04-09_18S",2022,6,15,"14:13",89.982,61.007,FALSE,TRUE,"Scotland","sample","sample","18S","23.03.2023","27.03.2023",2,2,5,"E",4,5,"E","28.02.2023","Exposed","dry, cloudy with intermittent sun","outgoing","16:00",-3.4328,58.6078,"14:13",21598.41,6.6,1.4255,9,17.65
"PHD1-SCH04-09rep_18S","PHD1-SCH04-09rep","PHD1","PHD1-2022.06.15-SCH04-09rep","Rockpool","Murkle Bay","SCH04","High","PHD1-SCH04-09rep_18S",2022,6,15,"14:13",71.517,39.644,FALSE,TRUE,"Scotland","sample","plate-replicate","18S","29.03.2023","29.03.2023",2,1,9,"B",3,8,"G","28.02.2023","Exposed","dry, cloudy with intermittent sun","outgoing","16:00",-3.4328,58.6078,"14:13",21598.41,6.6,1.4255,9,17.65
"PHD1-SCH05-01_18S","PHD1-SCH05-01","PHD1","PHD1-2022.06.16-SCH05-01","Open","Portskerra","SCH05","Open Water","PHD1-SCH05-01_18S",2022,6,16,"14:05",58.435,35.171,FALSE,FALSE,"Scotland","sample","sample","18S","28.03.2023","27.03.2023",3,2,5,"H",4,5,"H","02.03.2023","Moderately exposed","most dry, intermittent sun, shower when sampled","outgoing","16:45",-3.9228,58.5648,"14:05",NA,NA,NA,8.28,13.3
